year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,selling_price,sale_date
2010,BMW,X5 M,Base,suv,automatic,5ymgy0c56alk25660,ca,3.9,40353.0,gray,gray,"""trade in solutions irvine""",38900,34000,Thu Jun 04 2015 05:30:00 GMT-0700 (PDT)
2008,BMW,M5,Base,sedan,automatic,wbsnb93568cx09224,ca,3.6,61065.0,black,black,"""land rover rocklin""",26700,31750,Mon Jul 06 2015 06:30:00 GMT-0700 (PDT)
2007,BMW,X5,4.8i,suv,automatic,5uxfe83587lz38790,fl,4.1,76454.0,black,beige,"""johnson lexus of raleigh""",15500,19000,Tue Jun 02 2015 05:00:00 GMT-0700 (PDT)
2012,BMW,3 Series,328i,coupe,automatic,wbake5c54ce756269,ca,4.2,37034.0,black,black,"""mckenna audi/mckenna bmw""",20300,20000,Thu Jun 04 2015 05:00:00 GMT-0700 (PDT)
2009,BMW,5 Series,535i xDrive,sedan,automatic,wbanv93559c134613,nj,1.9,48072.0,black,black,"""car cash""",18200,17000,Tue Jun 02 2015 03:15:00 GMT-0700 (PDT)
2008,BMW,3 Series,335i,sedan,automatic,wbavb77578nm05018,ca,3.4,100005.0,black,black,"""jimmie johnson kearny mesa chevrolet""",9875,10200,Tue Jun 02 2015 05:30:00 GMT-0700 (PDT)
2008,BMW,5 Series,528i,sedan,automatic,wbanu53538c111809,fl,4.2,40152.0,blue,beige,"""we buy cars inc.""",14600,15000,Tue Jun 02 2015 02:30:00 GMT-0700 (PDT)
2008,BMW,X3,3.0si,suv,automatic,wbxpc93438wj07287,nj,2.9,107677.0,black,black,"""car cash""",9775,8700,Tue Jun 02 2015 03:15:00 GMT-0700 (PDT)
2004,BMW,3 Series,325Ci,convertible,automatic,wbabw33474pl28663,fl,3.0,92495.0,blue,beige,"""germain honda of naples""",6550,5700,Tue Jun 02 2015 02:30:00 GMT-0700 (PDT)
2003,BMW,3 Series,325i,sedan,automatic,wbaet37423nj35329,ga,1.9,231288.0,blue,gray,"""terry cullen southlake chev inc""",1525,2500,Tue Jun 02 2015 06:00:00 GMT-0700 (PDT)
2013,BMW,3 Series,328i xDrive,sedan,automatic,wba3b5c55df590482,oh,3.4,39424.0,gray,black,"""car source""",23600,23500,Tue Jun 02 2015 02:30:00 GMT-0700 (PDT)
2013,BMW,3 Series,328i,sedan,automatic,wba3a5g5xdnp22753,fl,4.5,33640.0,brown,beige,"""tamiami ford inc""",23100,21500,Tue Jun 02 2015 02:30:00 GMT-0700 (PDT)
2008,BMW,X5,4.8i,suv,automatic,5uxfe83548l160425,mi,4.9,44441.0,black,black,"""kevins marysville auto sales inc""",19000,22600,Thu Jun 04 2015 02:30:00 GMT-0700 (PDT)
2007,BMW,3 Series,328i,sedan,automatic,wbava37527ne28347,ny,2.9,173564.0,silver,black,"""carphoria llc""",4175,4100,Wed Jun 03 2015 02:30:00 GMT-0700 (PDT)
2007,BMW,5 Series,530xi,sedan,automatic,wbanf73527cu23222,mo,3.4,98391.0,silver,black,"""arizona auto sales inc""",9750,9200,Tue Jun 02 2015 04:00:00 GMT-0700 (PDT)
2002,BMW,3 Series,325Ci,convertible,,wbabs33442jy42448,nc,1.9,139954.0,blue,tan,"""sullivan auto trading inc""",3700,3700,Mon Jun 01 2015 03:00:00 GMT-0700 (PDT)
2001,BMW,3 Series,330xi,sedan,,wbaav53491js91544,nj,3.3,90231.0,black,beige,"""burns kull inc""",3400,4200,Wed Jun 03 2015 02:30:00 GMT-0700 (PDT)
2000,BMW,5 Series,528i,sedan,automatic,wbadm6347ygu07384,nj,1.9,174596.0,black,black,"""holman infiniti""",1425,1500,Wed Jun 03 2015 02:30:00 GMT-0700 (PDT)
2013,BMW,3 Series,320i,sedan,automatic,wba3b1c55dk128214,nv,1.9,23470.0,blue,black,"""financial services remarketing (lease)""",23100,15000,Thu Jun 04 2015 04:00:00 GMT-0700 (PDT)
2013,BMW,3 Series,320i,sedan,automatic,wba3b1c59dk129334,fl,4.0,15571.0,black,beige,"""germain bmw of naples""",23700,22700,Tue Jun 16 2015 02:30:00 GMT-0700 (PDT)
2013,BMW,3 Series,328i,sedan,,wba3a5c50df355250,nc,3.7,34242.0,black,black,"""morris motors inc""",22600,23400,Tue Jun 02 2015 02:30:00 GMT-0700 (PDT)
2013,BMW,X5,xDrive35i,suv,automatic,5uxzv4c51d0b00333,nj,4.1,67349.0,gray,brown,"""royalton auto enterprises inc""",31900,29650,Wed Jun 10 2015 02:30:00 GMT-0700 (PDT)
2013,BMW,X5,xDrive35i,suv,automatic,5uxzv4c52d0b02009,fl,5.0,45097.0,black,brown,"""lauderdale bmw of fort lauderdale""",32700,32500,Fri Jun 12 2015 02:35:00 GMT-0700 (PDT)
2012,BMW,3 Series,328i,sedan,automatic,wba3a5g52cnp15925,ga,4.4,37626.0,blue,gray,"""kern automotive group inc""",21600,21000,Tue Jun 02 2015 02:30:00 GMT-0700 (PDT)
2012,BMW,5 Series,550i xDrive,sedan,automatic,wbafu9c53cc787603,nv,3.4,36074.0,gray,black,"""financial services remarketing (lease)""",34400,32750,Fri Jun 05 2015 05:00:00 GMT-0700 (PDT)
2012,BMW,5 Series,528i,sedan,automatic,wbaxg5c58cdw92341,fl,4.9,38934.0,black,tan,"""lauderdale bmw of fort lauderdale""",26000,26500,Fri Jun 12 2015 02:35:00 GMT-0700 (PDT)
2015,BMW,X1,sDrive28i,suv,automatic,wbavm1c5xfvz94107,fl,5.0,2011.0,silver,black,"""lauderdale bmw of fort lauderdale""",29600,27000,Fri Jun 05 2015 02:35:00 GMT-0700 (PDT)
2011,BMW,3 Series,328i,sedan,automatic,wbaph7g54bnm58239,ga,3.8,83077.0,silver,gray,"""bill hancock motors""",13450,14200,Tue Jun 02 2015 02:30:00 GMT-0700 (PDT)
2011,BMW,3 Series,328i,sedan,automatic,wbaph5g53bnm81922,nv,3.5,17241.0,black,black,"""financial services remarketing (lease)""",18800,19000,Fri Jun 19 2015 05:00:00 GMT-0700 (PDT)
2011,BMW,5 Series,535i xDrive,sedan,automatic,wbafu7c55bc872591,ga,4.7,31499.0,black,black,"""young motors llc""",28300,28600,Thu Jun 04 2015 02:45:00 GMT-0700 (PDT)
2010,BMW,3 Series,328i,sedan,automatic,wbaph7g55anm51511,fl,3.8,67251.0,silver,black,"""santander consumer""",13250,12500,Thu Jun 04 2015 02:35:00 GMT-0700 (PDT)
2009,BMW,5 Series,528i,sedan,automatic,wbanu53529c119434,tx,4.0,101182.0,white,beige,"""vroom""",11350,11500,Thu Jun 04 2015 04:00:00 GMT-0700 (PDT)
2009,BMW,6 Series,650i,coupe,automatic,wbaea53519cv92718,ca,2.7,61215.0,white,black,"""sl auto gallery inc""",23100,19250,Wed Jun 03 2015 05:30:00 GMT-0700 (PDT)
2008,BMW,3 Series,328i,sedan,automatic,wbava33598p143587,fl,3.6,71339.0,silver,tan,"""santander consumer""",10250,9900,Thu Jun 04 2015 02:35:00 GMT-0700 (PDT)
2008,BMW,3 Series,335i,convertible,automatic,wbawl73538px57413,tx,2.9,72419.0,black,black,"""vroom""",16350,16000,Thu Jun 04 2015 04:00:00 GMT-0700 (PDT)
2008,BMW,3 Series,328i,sedan,automatic,wbavc53568f008997,fl,3.8,78266.0,white,tan,"""meridian remarketing""",9775,8400,Thu Jun 04 2015 08:00:00 GMT-0700 (PDT)
2008,BMW,X5,3.0si,suv,automatic,5uxfe435x8l021425,fl,4.4,67275.0,white,black,"""tdaf remarketing""",16750,17800,Tue Jun 02 2015 02:00:00 GMT-0700 (PDT)
2008,BMW,3 Series,335i,coupe,automatic,wbawb73518p042195,ga,2.7,89030.0,black,black,"""mercedes benz of buckhead""",12650,9400,Tue Jun 02 2015 06:00:00 GMT-0700 (PDT)
2008,BMW,X3,3.0si,suv,automatic,wbxpc934x8wj21882,nj,3.6,88557.0,black,beige,"""terryville chevrolet llc""",11150,11300,Wed Jun 03 2015 02:30:00 GMT-0700 (PDT)
2008,BMW,3 Series,328i,sedan,automatic,wbava37548nl46392,fl,3.0,101503.0,black,beige,"""germain bmw of naples""",8050,8500,Tue Jun 02 2015 02:30:00 GMT-0700 (PDT)
2007,BMW,3 Series,328i,sedan,automatic,wbavc53597fz71939,tx,3.9,96710.0,silver,gray,"""rlb investments""",8000,9000,Wed Jun 03 2015 03:20:00 GMT-0700 (PDT)
2007,BMW,3 Series,335i,sedan,automatic,wbavb73517vf52281,fl,2.9,105654.0,silver,gray,"""santander consumer""",8975,6500,Thu Jun 04 2015 02:35:00 GMT-0700 (PDT)
2007,BMW,X3,3.0si,suv,,wbxpc93417wf04949,pa,3.4,90426.0,blue,black,"""j magnone auto group llc""",9500,9500,Fri Jun 05 2015 02:00:00 GMT-0700 (PDT)
2007,BMW,3 Series,328xi,sedan,automatic,wbavc93517kx58210,ma,2.5,97702.0,blue,tan,"""audi cape cod""",8150,8000,Tue Jun 02 2015 02:30:00 GMT-0700 (PDT)
2007,BMW,X5,4.8i,suv,automatic,4usfe83547ly64196,il,2.7,71793.0,blue,beige,"""perillo bmw inc""",15650,15400,Thu Jun 04 2015 03:00:00 GMT-0700 (PDT)
2006,BMW,3 Series,325xi,sedan,automatic,wbavd13556kv08577,nj,3.0,141985.0,black,black,"""car cash""",4850,5300,Tue Jun 02 2015 03:15:00 GMT-0700 (PDT)
2006,BMW,3 Series,325i,sedan,automatic,wbavb13556pt15242,ga,2.6,112410.0,red,black,"""rick hendrick chevrolet of buford""",6375,7300,Tue Jun 02 2015 06:00:00 GMT-0700 (PDT)
2006,BMW,Z4,3.0i,convertible,automatic,4usbu33516lw67151,fl,3.1,102150.0,blue,beige,"""tdaf remarketing""",9075,8400,Tue Jun 02 2015 02:00:00 GMT-0700 (PDT)
2005,BMW,3 Series,325xi,sedan,automatic,wbaeu33415pr14201,nc,3.3,108034.0,blue,tan,"""audi northlake""",4975,7100,Wed Jun 03 2015 07:00:00 GMT-0700 (PDT)
2005,BMW,X5,4.4i,suv,automatic,5uxfb53525lv20195,pa,3.9,80071.0,blue,gray,"""spitzer toyota scion""",7700,7100,Wed Jun 03 2015 05:00:00 GMT-0700 (PDT)
2005,BMW,5 Series,530i,sedan,automatic,wbana73515b816419,ga,4.5,102220.0,white,tan,"""national auto lenders inc""",6575,6500,Thu Jun 11 2015 03:00:00 GMT-0700 (PDT)
2003,BMW,M3,Base,coupe,manual,wbsbl93443jr23107,tx,1.9,122719.0,black,black,"""vroom""",10100,10900,Thu Jun 04 2015 04:00:00 GMT-0700 (PDT)
2000,BMW,3 Series,328Ci,coupe,automatic,wbabm5348yjn92503,nc,2.7,90618.0,silver,gray,"""audi northlake""",3300,5500,Wed Jun 03 2015 07:00:00 GMT-0700 (PDT)
